# Z1 Z2 a b c d rms_err(%) max_err(%)
 5  8  0.18936 -1.99035  8.77933 -0.99176  0.90  1.81
 5  9  0.19589 -1.97650  8.66416 -0.99025  1.47  3.01
 5 10  0.91432 -1.65549 11.07869 -0.84195  2.10  3.66
 5 11  0.08613 -1.90162  8.15236 -1.12349  7.07 12.17
 5 12  0.07189 -1.91294  8.29805 -1.10297  5.35 10.18
 5 13  0.06807 -1.95628  8.44278 -1.08018  4.56  8.76
 5 14  0.07677 -1.96855  8.47867 -1.06595  4.15  7.93
 5 15  0.08675 -1.97345  8.47220 -1.05281  3.29  6.70
 5 16  0.08566 -1.98276  8.52441 -1.03677  2.26  4.84
 5 17  0.08799 -1.97145  8.52610 -1.02970  1.84  3.53
 5 18  0.31881 -1.75197  8.24466 -0.98318  2.11  3.94
 5 19  0.26097 -1.76676  8.21768 -1.01808  4.29  8.64
 5 20  0.23944 -1.79591  8.29396 -1.02139  4.39  8.77
 5 21  0.18010 -1.86851  8.39326 -1.02828  3.19  5.98
 5 22  0.13725 -1.91577  8.54175 -1.04122  3.29  5.62
 5 23  0.13601 -1.92165  8.59733 -1.04714  3.39  5.67
 5 24  0.13329 -1.92821  8.66303 -1.05303  3.44  5.83
 5 25  0.13169 -1.93340  8.72073 -1.05765  3.38  5.67
 5 26  0.13969 -1.92778  8.77170 -1.05827  3.37  5.54
 5 27  0.14991 -1.91885  8.81860 -1.05517  3.36  5.62
 5 28  0.14711 -1.91108  8.79490 -1.06413  3.74  6.43
 5 29  0.16453 -1.86936  8.78904 -1.06853  4.76  8.75
 5 30  0.21251 -1.80278  8.76935 -1.06803  5.16  9.45
 5 31  0.11329 -1.88296  8.85071 -1.09021  5.05  8.80
 5 32  0.10357 -1.90489  8.93469 -1.08064  4.58  8.12
 5 33  0.10119 -1.91799  8.99579 -1.06969  4.20  7.38
 5 34  0.08182 -1.94332  9.06240 -1.06433  3.72  6.64
 5 35  0.08334 -1.93062  9.08082 -1.05492  3.46  6.02
 5 36  0.31526 -1.73047  8.96284 -0.99242  1.91  3.63
 5 37  0.29595 -1.73380  8.95280 -0.99854  2.97  5.90
 5 38  0.26848 -1.75504  8.94943 -0.99998  3.45  6.64
