# Z1 Z2     a1        b1       a2       b2       a3       b3  rmax[A]    error
 3 12  0.30977  15.89155  0.67041  3.57412  0.00000  1.00000  2.56600  0.02941
 3 13  0.26230  19.24929  0.71141  3.80696  0.00000  1.00000  1.98100  0.02496
 3 14  0.22173  23.12190  0.74905  4.03803  0.00000  1.00000  1.73500  0.02982
 3 15  0.18276  27.94226  0.78611  4.29110  0.00000  1.00000  1.58000  0.03908
 3 16  0.19675  25.36645  0.76155  4.35567  0.00000  1.00000  1.46700  0.02389
 3 17  0.17137  27.32220  0.75995  4.76462  0.00000  1.00000  1.39000  0.02981
 3 18  0.55134   9.73581  0.45307  2.63345  0.00000  1.00000  2.31613  0.04062
 3 19  0.04402  62.84934  0.42084 10.32823  0.52485  3.12389  2.59700  0.03632
 3 20  0.03714  71.09465  0.37868 11.43841  0.57156  3.39025  2.53600  0.03728
 3 21  0.03813  73.34222  0.37980 11.36879  0.57696  3.42821  2.06500  0.03536
 3 22  0.04189  70.95296  0.35943 11.44927  0.59570  3.61257  1.86600  0.03280
 3 23  0.04681  66.51807  0.35777 11.12274  0.59587  3.70355  1.74500  0.02912
 3 24  0.03467  81.71227  0.32722 12.66446  0.63996  3.91294  1.65300  0.03033
 3 25  0.03807  83.14380  0.36732 11.52895  0.60217  3.82198  1.55800  0.02601
 3 26  0.04409  78.66894  0.42923 10.27738  0.53894  3.65268  1.48000  0.02067
 3 27  0.04761  75.61960  0.45065  9.89571  0.51183  3.69370  1.41900  0.01675
 3 28  0.04272  83.68101  0.44274 10.32081  0.52046  3.81553  1.40400  0.01827
 3 29  0.04615  79.14702  0.47483  9.96271  0.47520  3.77706  1.46300  0.01291
 3 30  0.53577  10.74107  0.45795  3.71768  0.00000  1.00000  2.42500  0.02194
 3 31  0.03339 108.44457  0.46887 10.98793  0.48799  3.86399  1.93700  0.01348
 3 32  0.42125  13.94315  0.56543  4.15849  0.00000  1.00000  1.76500  0.01849
 3 33  0.36252  16.30486  0.62066  4.42164  0.00000  1.00000  1.65400  0.02556
